Branch,TypeofExpenditure,COUNTRY,Year,UnitCode,Value in Millions
Family,Total,Australia,2000,USD,13730.0
Family,Total,Australia,2005,USD,18339.0
Family,Total,Australia,2010,USD,24337.0
Family,Total,Australia,2015,USD,29742.0
Family,Total,Australia,2019,USD,31107.0
Family,Total,Austria,2000,USD,7435.0
Family,Total,Austria,2005,USD,8719.0
Family,Total,Austria,2010,USD,10381.0
Family,Total,Austria,2015,USD,10886.0
Family,Total,Austria,2019,USD,11868.0
Family,Total,Belgium,2000,USD,7518.0
Family,Total,Belgium,2005,USD,9527.0
Family,Total,Belgium,2010,USD,12216.0
Family,Total,Belgium,2015,USD,13749.0
Family,Total,Belgium,2019,USD,15743.0
Family,Total,Canada,2000,USD,7487.0
Family,Total,Canada,2005,USD,11627.0
Family,Total,Canada,2010,USD,16254.0
Family,Total,Canada,2015,USD,23621.0
Family,Total,Canada,2019,USD,30597.0
Family,Total,Canada,2020,USD,29401.0
Family,Total,Czech Republic,2000,USD,1941.0
Family,Total,Czech Republic,2005,USD,2995.0
Family,Total,Czech Republic,2010,USD,4202.0
Family,Total,Czech Republic,2015,USD,4283.0
Family,Total,Czech Republic,2019,USD,5590.0
Family,Total,Denmark,2000,USD,6758.0
Family,Total,Denmark,2005,USD,8326.0
Family,Total,Denmark,2010,USD,10575.0
Family,Total,Denmark,2015,USD,10750.0
Family,Total,Denmark,2019,USD,11486.0
Family,Total,Finland,2000,USD,4749.0
Family,Total,Finland,2005,USD,5546.0
Family,Total,Finland,2010,USD,6935.0
Family,Total,Finland,2015,USD,7750.0
Family,Total,Finland,2019,USD,8236.0
Family,Total,France,2000,USD,52804.0
Family,Total,France,2005,USD,61563.0
Family,Total,France,2010,USD,69285.0
Family,Total,France,2015,USD,76477.0
Family,Total,France,2019,USD,78557.0
Family,Total,France,2020,USD,80383.0
Family,Total,Germany,2000,USD,51558.0
Family,Total,Germany,2005,USD,55806.0
Family,Total,Germany,2010,USD,66694.0
Family,Total,Germany,2015,USD,81402.0
Family,Total,Germany,2019,USD,99853.0
Family,Total,Greece,2000,USD,1372.0
Family,Total,Greece,2005,USD,1844.0
Family,Total,Greece,2010,USD,2605.0
Family,Total,Greece,2015,USD,2693.0
Family,Total,Greece,2019,USD,3849.0
Family,Total,Hungary,2000,USD,1157.0
Family,Total,Hungary,2005,USD,1962.0
Family,Total,Hungary,2010,USD,2678.0
Family,Total,Hungary,2015,USD,2752.0
Family,Total,Hungary,2019,USD,3297.0
Family,Total,Iceland,2000,USD,111.0
Family,Total,Iceland,2005,USD,224.0
Family,Total,Iceland,2010,USD,438.0
Family,Total,Iceland,2015,USD,562.0
Family,Total,Iceland,2019,USD,753.0
Family,Total,Ireland,2000,USD,2514.0
Family,Total,Ireland,2005,USD,5170.0
Family,Total,Ireland,2010,USD,6819.0
Family,Total,Ireland,2015,USD,6230.0
Family,Total,Ireland,2019,USD,6931.0
Family,Total,Italy,2000,USD,17238.0
Family,Total,Italy,2005,USD,21364.0
Family,Total,Italy,2010,USD,25274.0
Family,Total,Italy,2015,USD,27398.0
Family,Total,Italy,2019,USD,30283.0
Family,Total,Japan,2000,USD,19888.0
