Financingscheme,Function,Measure,Country,Year,Value in %
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Austria,2010,7.63
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Austria,2011,7.481
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Austria,2012,7.617
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Austria,2013,7.612
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Austria,2014,7.673
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Austria,2015,7.678
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Austria,2016,7.657
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Austria,2017,7.686
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Austria,2018,7.724
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Austria,2019,7.865
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Austria,2020,8.772
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Austria,2021,9.555
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Belgium,2010,7.783
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Belgium,2011,7.898
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Belgium,2012,8.033
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Belgium,2013,8.04
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Belgium,2014,8.079
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Belgium,2015,8.265
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Belgium,2016,8.305
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Belgium,2017,8.304
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Belgium,2018,8.337
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Belgium,2019,8.107
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Belgium,2020,8.763
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Norway,2010,7.541
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Norway,2011,7.42
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Norway,2012,7.44
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Norway,2013,7.592
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Norway,2014,7.97
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Norway,2015,8.664
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Norway,2016,9.043
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Norway,2017,8.781
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Norway,2018,8.591
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Norway,2019,9.031
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Norway,2020,9.787
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Norway,2021,8.625
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Türkiye,2010,3.916
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Türkiye,2011,3.682
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Türkiye,2012,3.519
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Türkiye,2013,3.425
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Türkiye,2014,3.357
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Türkiye,2015,3.217
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Türkiye,2016,3.361
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Türkiye,2017,3.248
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Türkiye,2018,3.191
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Türkiye,2019,3.387
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Türkiye,2020,3.641
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Israel,2010,4.394
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Israel,2011,4.354
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Israel,2012,4.433
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Israel,2013,4.466
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Israel,2014,4.496
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Israel,2015,4.503
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Israel,2016,4.536
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Israel,2017,4.623
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Israel,2018,4.712
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Israel,2019,4.832
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Israel,2020,5.893
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Hungary,2010,4.994
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Hungary,2011,4.973
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Hungary,2012,4.853
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Hungary,2013,4.818
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Hungary,2014,4.725
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Hungary,2015,4.671
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Hungary,2016,4.756
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Hungary,2017,4.641
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Hungary,2018,4.572
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Hungary,2019,4.323
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Hungary,2020,5.179
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Hungary,2021,5.303
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Spain,2010,6.789
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Spain,2011,6.737
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Spain,2012,6.601
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Spain,2013,6.438
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Spain,2014,6.386
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Spain,2015,6.509
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Spain,2016,6.405
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Spain,2017,6.31
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Spain,2018,6.321
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Spain,2019,6.454
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Spain,2020,7.849
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Sweden,2010,6.863
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Sweden,2011,8.8
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Sweden,2012,9.041
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Sweden,2013,9.162
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Sweden,2014,9.199
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Sweden,2015,9.071
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Sweden,2016,9.144
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Sweden,2017,9.136
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Sweden,2018,9.276
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Sweden,2019,9.221
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Sweden,2020,9.877
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Sweden,2021,9.787
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Switzerland,2010,6.391
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Switzerland,2011,6.493
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Switzerland,2012,6.781
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Switzerland,2013,7.006
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Switzerland,2014,7.016
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Switzerland,2015,7.291
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Switzerland,2016,7.398
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Switzerland,2017,7.563
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Switzerland,2018,7.331
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Switzerland,2019,7.536
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Switzerland,2020,8.221
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Greece,2010,6.613
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Greece,2011,6.04
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Greece,2012,5.899
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Greece,2013,5.238
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Greece,2014,4.542
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Greece,2015,4.803
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Greece,2016,5.186
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Greece,2017,4.926
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Greece,2018,4.808
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Greece,2019,5.046
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Greece,2020,5.879
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Japan,2010,7.425
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Japan,2011,8.783
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Japan,2012,8.957
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Japan,2013,8.994
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Japan,2014,9.025
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Japan,2015,9.039
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Japan,2016,8.957
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Japan,2017,8.974
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Japan,2018,9.002
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Japan,2019,9.201
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Japan,2020,9.28
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United Kingdom,2010,8.006
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United Kingdom,2011,7.973
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United Kingdom,2012,7.957
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United Kingdom,2013,7.857
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United Kingdom,2014,7.85
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United Kingdom,2015,7.779
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United Kingdom,2016,7.772
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United Kingdom,2017,7.631
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United Kingdom,2018,7.658
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United Kingdom,2019,7.836
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United Kingdom,2020,9.923
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,United Kingdom,2021,9.898
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Italy,2010,6.995
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Italy,2011,6.757
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Italy,2012,6.665
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Italy,2013,6.648
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Italy,2014,6.689
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Italy,2015,6.593
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Italy,2016,6.492
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Italy,2017,6.399
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Italy,2018,6.413
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Italy,2019,6.384
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Italy,2020,7.329
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Italy,2021,7.145
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Portugal,2010,6.678
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Portugal,2011,6.282
Government/compulsory schemes,Current expenditure on health (all functions),Share of gross domestic product,Portugal,2012,5.921
