Branch,TypeofExpenditure,COUNTRY,Year,UnitCode,Value in Millions
Active labour market programmes,Total,Australia,2000,USD,936.0
Active labour market programmes,Total,Australia,2005,USD,1394.0
Active labour market programmes,Total,Australia,2010,USD,1754.0
Active labour market programmes,Total,Australia,2015,USD,1647.0
Active labour market programmes,Total,Australia,2019,USD,2237.0
Active labour market programmes,Total,Austria,2000,USD,303.0
Active labour market programmes,Total,Austria,2005,USD,445.0
Active labour market programmes,Total,Austria,2010,USD,568.0
Active labour market programmes,Total,Austria,2015,USD,621.0
Active labour market programmes,Total,Austria,2019,USD,761.0
Active labour market programmes,Total,Belgium,2000,USD,452.0
Active labour market programmes,Total,Belgium,2005,USD,597.0
Active labour market programmes,Total,Belgium,2010,USD,795.0
Active labour market programmes,Total,Belgium,2015,USD,872.0
Active labour market programmes,Total,Belgium,2019,USD,1752.0
Active labour market programmes,Total,Canada,2000,USD,1671.0
Active labour market programmes,Total,Canada,2005,USD,1708.0
Active labour market programmes,Total,Canada,2010,USD,1743.0
Active labour market programmes,Total,Canada,2015,USD,1759.0
Active labour market programmes,Total,Canada,2019,USD,1813.0
Active labour market programmes,Total,Canada,2020,USD,2316.0
Active labour market programmes,Total,Czech Republic,2000,USD,76.0
Active labour market programmes,Total,Czech Republic,2005,USD,177.0
Active labour market programmes,Total,Czech Republic,2010,USD,195.0
Active labour market programmes,Total,Czech Republic,2015,USD,260.0
Active labour market programmes,Total,Czech Republic,2019,USD,309.0
Active labour market programmes,Total,Denmark,2000,USD,561.0
Active labour market programmes,Total,Denmark,2005,USD,731.0
Active labour market programmes,Total,Denmark,2010,USD,1058.0
Active labour market programmes,Total,Denmark,2015,USD,1189.0
Active labour market programmes,Total,Denmark,2019,USD,1304.0
Active labour market programmes,Total,Finland,2000,USD,203.0
Active labour market programmes,Total,Finland,2005,USD,299.0
Active labour market programmes,Total,Finland,2010,USD,348.0
Active labour market programmes,Total,Finland,2015,USD,346.0
Active labour market programmes,Total,Finland,2019,USD,389.0
Active labour market programmes,Total,France,2000,USD,2923.0
Active labour market programmes,Total,France,2005,USD,4630.0
Active labour market programmes,Total,France,2010,USD,6752.0
Active labour market programmes,Total,France,2015,USD,6301.0
Active labour market programmes,Total,France,2019,USD,6320.0
Active labour market programmes,Total,France,2020,USD,6271.0
Active labour market programmes,Total,Germany,2000,USD,5149.0
Active labour market programmes,Total,Germany,2005,USD,7620.0
Active labour market programmes,Total,Germany,2010,USD,10603.0
Active labour market programmes,Total,Germany,2015,USD,11992.0
Active labour market programmes,Total,Germany,2019,USD,12783.0
Active labour market programmes,Total,Greece,2000,USD,10.0
Active labour market programmes,Total,Greece,2005,USD,24.0
Active labour market programmes,Total,Greece,2010,USD,26.0
Active labour market programmes,Total,Greece,2015,USD,22.0
Active labour market programmes,Total,Greece,2019,USD,12.0
Active labour market programmes,Total,Hungary,2000,USD,42.0
Active labour market programmes,Total,Hungary,2005,USD,60.0
Active labour market programmes,Total,Hungary,2010,USD,70.0
Active labour market programmes,Total,Hungary,2015,USD,68.0
Active labour market programmes,Total,Hungary,2019,USD,82.0
Active labour market programmes,Total,Iceland,2000,USD,3.0
Active labour market programmes,Total,Iceland,2005,USD,5.0
Active labour market programmes,Total,Iceland,2010,USD,8.0
Active labour market programmes,Total,Iceland,2015,USD,8.0
