Source,Branch,Type of Expenditure,Type,COUNTRY,Year,Unit Code,Unit,PowerCode,Value
Public,Active labour market programmes,Total,PCT_GDP,AUS,2000,PC,Percentage,Units,0.198
Public,Active labour market programmes,Total,PCT_GDP,AUS,2005,PC,Percentage,Units,0.208
Public,Active labour market programmes,Total,PCT_GDP,AUS,2010,PC,Percentage,Units,0.185
Public,Active labour market programmes,Total,PCT_GDP,AUS,2015,PC,Percentage,Units,0.148
Public,Active labour market programmes,Total,PCT_GDP,AUS,2019,PC,Percentage,Units,0.169
Public,Active labour market programmes,Total,PCT_GDP,AUT,2000,PC,Percentage,Units,0.13
Public,Active labour market programmes,Total,PCT_GDP,AUT,2005,PC,Percentage,Units,0.161
Public,Active labour market programmes,Total,PCT_GDP,AUT,2010,PC,Percentage,Units,0.176
Public,Active labour market programmes,Total,PCT_GDP,AUT,2015,PC,Percentage,Units,0.166
Public,Active labour market programmes,Total,PCT_GDP,AUT,2019,PC,Percentage,Units,0.176
Public,Active labour market programmes,Total,PCT_GDP,BEL,2000,PC,Percentage,Units,0.162
Public,Active labour market programmes,Total,PCT_GDP,BEL,2005,PC,Percentage,Units,0.177
Public,Active labour market programmes,Total,PCT_GDP,BEL,2010,PC,Percentage,Units,0.201
Public,Active labour market programmes,Total,PCT_GDP,BEL,2015,PC,Percentage,Units,0.192
Public,Active labour market programmes,Total,PCT_GDP,BEL,2019,PC,Percentage,Units,0.336
Public,Active labour market programmes,Total,PCT_GDP,CAN,2000,PC,Percentage,Units,0.197
Public,Active labour market programmes,Total,PCT_GDP,CAN,2005,PC,Percentage,Units,0.156
Public,Active labour market programmes,Total,PCT_GDP,CAN,2010,PC,Percentage,Units,0.135
Public,Active labour market programmes,Total,PCT_GDP,CAN,2015,PC,Percentage,Units,0.116
Public,Active labour market programmes,Total,PCT_GDP,CAN,2019,PC,Percentage,Units,0.104
Public,Active labour market programmes,Total,PCT_GDP,CAN,2020,PC,Percentage,Units,0.134
Public,Active labour market programmes,Total,PCT_GDP,CZE,2000,PC,Percentage,Units,0.069
Public,Active labour market programmes,Total,PCT_GDP,CZE,2005,PC,Percentage,Units,0.117
Public,Active labour market programmes,Total,PCT_GDP,CZE,2010,PC,Percentage,Units,0.106
Public,Active labour market programmes,Total,PCT_GDP,CZE,2015,PC,Percentage,Units,0.122
Public,Active labour market programmes,Total,PCT_GDP,CZE,2019,PC,Percentage,Units,0.116
Public,Active labour market programmes,Total,PCT_GDP,DNK,2000,PC,Percentage,Units,0.282
Public,Active labour market programmes,Total,PCT_GDP,DNK,2005,PC,Percentage,Units,0.307
Public,Active labour market programmes,Total,PCT_GDP,DNK,2010,PC,Percentage,Units,0.389
Public,Active labour market programmes,Total,PCT_GDP,DNK,2015,PC,Percentage,Units,0.389
Public,Active labour market programmes,Total,PCT_GDP,DNK,2019,PC,Percentage,Units,0.376
Public,Active labour market programmes,Total,PCT_GDP,FIN,2000,PC,Percentage,Units,0.137
Public,Active labour market programmes,Total,PCT_GDP,FIN,2005,PC,Percentage,Units,0.166
Public,Active labour market programmes,Total,PCT_GDP,FIN,2010,PC,Percentage,Units,0.17
Public,Active labour market programmes,Total,PCT_GDP,FIN,2015,PC,Percentage,Units,0.15
Public,Active labour market programmes,Total,PCT_GDP,FIN,2019,PC,Percentage,Units,0.149
Public,Active labour market programmes,Total,PCT_GDP,FRA,2000,PC,Percentage,Units,0.181
Public,Active labour market programmes,Total,PCT_GDP,FRA,2005,PC,Percentage,Units,0.241
Public,Active labour market programmes,Total,PCT_GDP,FRA,2010,PC,Percentage,Units,0.31
Public,Active labour market programmes,Total,PCT_GDP,FRA,2015,PC,Percentage,Units,0.263
Public,Active labour market programmes,Total,PCT_GDP,FRA,2019,PC,Percentage,Units,0.238
Public,Active labour market programmes,Total,PCT_GDP,FRA,2020,PC,Percentage,Units,0.249
Public,Active labour market programmes,Total,PCT_GDP,DEU,2000,PC,Percentage,Units,0.224
Public,Active labour market programmes,Total,PCT_GDP,DEU,2005,PC,Percentage,Units,0.306
Public,Active labour market programmes,Total,PCT_GDP,DEU,2010,PC,Percentage,Units,0.379
Public,Active labour market programmes,Total,PCT_GDP,DEU,2015,PC,Percentage,Units,0.364
Public,Active labour market programmes,Total,PCT_GDP,DEU,2019,PC,Percentage,Units,0.338
Public,Active labour market programmes,Total,PCT_GDP,GRC,2000,PC,Percentage,Units,0.007
Public,Active labour market programmes,Total,PCT_GDP,GRC,2005,PC,Percentage,Units,0.011
Public,Active labour market programmes,Total,PCT_GDP,GRC,2010,PC,Percentage,Units,0.011
Public,Active labour market programmes,Total,PCT_GDP,GRC,2015,PC,Percentage,Units,0.012
Public,Active labour market programmes,Total,PCT_GDP,GRC,2019,PC,Percentage,Units,0.006
Public,Active labour market programmes,Total,PCT_GDP,HUN,2000,PC,Percentage,Units,0.11
Public,Active labour market programmes,Total,PCT_GDP,HUN,2005,PC,Percentage,Units,0.092
Public,Active labour market programmes,Total,PCT_GDP,HUN,2010,PC,Percentage,Units,0.087
Public,Active labour market programmes,Total,PCT_GDP,HUN,2015,PC,Percentage,Units,0.067
Public,Active labour market programmes,Total,PCT_GDP,HUN,2019,PC,Percentage,Units,0.059
Public,Active labour market programmes,Total,PCT_GDP,ISL,2000,PC,Percentage,Units,0.054
Public,Active labour market programmes,Total,PCT_GDP,ISL,2005,PC,Percentage,Units,0.069
Public,Active labour market programmes,Total,PCT_GDP,ISL,2010,PC,Percentage,Units,0.061
Public,Active labour market programmes,Total,PCT_GDP,ISL,2015,PC,Percentage,Units,0.046
Public,Active labour market programmes,Total,PCT_GDP,ISL,2019,PC,Percentage,Units,0.06
Public,Active labour market programmes,Total,PCT_GDP,IRL,2000,PC,Percentage,Units,0.128
Public,Active labour market programmes,Total,PCT_GDP,IRL,2005,PC,Percentage,Units,0.116
Public,Active labour market programmes,Total,PCT_GDP,IRL,2010,PC,Percentage,Units,0.169
Public,Active labour market programmes,Total,PCT_GDP,IRL,2015,PC,Percentage,Units,0.089
Public,Active labour market programmes,Total,PCT_GDP,IRL,2019,PC,Percentage,Units,0.045
Public,Active labour market programmes,Total,PCT_GDP,ITA,2005,PC,Percentage,Units,0.077
Public,Active labour market programmes,Total,PCT_GDP,ITA,2010,PC,Percentage,Units,0.1
Public,Active labour market programmes,Total,PCT_GDP,ITA,2015,PC,Percentage,Units,0.088
Public,Active labour market programmes,Total,PCT_GDP,ITA,2019,PC,Percentage,Units,0.069
Public,Active labour market programmes,Total,PCT_GDP,JPN,2000,PC,Percentage,Units,0.127
Public,Active labour market programmes,Total,PCT_GDP,JPN,2005,PC,Percentage,Units,0.076
Public,Active labour market programmes,Total,PCT_GDP,JPN,2010,PC,Percentage,Units,0.055
Public,Active labour market programmes,Total,PCT_GDP,JPN,2015,PC,Percentage,Units,0.07
Public,Active labour market programmes,Total,PCT_GDP,JPN,2019,PC,Percentage,Units,0.066
Public,Active labour market programmes,Total,PCT_GDP,JPN,2020,PC,Percentage,Units,0.071
Public,Active labour market programmes,Total,PCT_GDP,KOR,2000,PC,Percentage,Units,0.014
Public,Active labour market programmes,Total,PCT_GDP,KOR,2005,PC,Percentage,Units,0.024
Public,Active labour market programmes,Total,PCT_GDP,KOR,2010,PC,Percentage,Units,0.014
Public,Active labour market programmes,Total,PCT_GDP,KOR,2015,PC,Percentage,Units,0.034
Public,Active labour market programmes,Total,PCT_GDP,KOR,2019,PC,Percentage,Units,0.045
Public,Active labour market programmes,Total,PCT_GDP,LUX,2000,PC,Percentage,Units,0.05
Public,Active labour market programmes,Total,PCT_GDP,LUX,2005,PC,Percentage,Units,0.047
